cb998e4 | LeDatPhucAn | add animations to the updating hash node
faccc05 | LeDatPhucAn | update dijkstra
3b411df | Khoa Nguyen | move the button up to avoid missing for hash table
bd22fe9 | Khoa Nguyen | Include calculation while insert into a hash table
538a871 | LeDatPhucAn | fixed HashTable
7e131f1 | ntd | Fix graph
d6a3a6f | Pham Tien Dat | Merge branch 'TienDat1' into master
5239101 | Pham Tien Dat | Done updating treap when modifying a node
51d1ad4 | Pham Tien Dat | Add some classes for handling only modifying node to new value if user press Enter
9e3028b | Pham Tien Dat | Revert "Update the treap when a node is modified."
8fe29d9 | Pham Tien Dat | Revert "Update InputHandler to accept the new value only when press "Enter"."
889b779 | Pham Tien Dat | Update InputHandler to accept the new value only when press "Enter".
a0a8bfe | Pham Tien Dat | Update the treap when a node is modified.
1a5d574 | Pham Tien Dat | Done integrating Pseudo Code into remove function
9e68b2e | LeDatPhucAn | fix circular dependency
5b1cf0b | Pham Tien Dat | Add PseudoCode for removal
c8cd54c | Pham Tien Dat | Some progress to add PseudoCode for removal
a81c450 | Pham Tien Dat | Done integrating CodeBlock into insert function
1e72e50 | Pham Tien Dat | Add Pseudo Code for insertion
8356743 | Pham Tien Dat | Modify duration of animation higlighting node in searching
1cf78f9 | ntd | test graph
831eee1 | ntd | Fix init Graph
e84cc7d | ntd | Resolve conflict from branch TanDat
6c7654a | ntd | Complete the graph
a251562 | LeDatPhucAn | Update Animation.cpp
5173de9 | ntd | Complete the Visualize for Graph(Dijkstra)
8fd576f | Pham Tien Dat | Done integrating CodeBlock into search function
c686722 | Pham Tien Dat | Modify new function
6ad72d2 | Pham Tien Dat | Add function to unhighlight all CodeBlock lines
6266076 | Pham Tien Dat | Trying adding Pseudo Code into search function
69bcc8d | Pham Tien Dat | Merge branch 'TienDat1' of https://github.com/LeDatPhucAn/Data-Structure-Visualization into TienDat1
875bec4 | Pham Tien Dat | Modify Pseudo Code of search function
013d544 | Pham Tien Dat | Merge pull request #56 from LeDatPhucAn/master
a82e9c2 | Pham Tien Dat | Merge branch 'TienDat1' into master
0845e49 | Pham Tien Dat | Edit insert function for better visualization
b69953c | Pham Tien Dat | Edit search function for better visualization
dab4dd4 | Pham Tien Dat | Edit remove function for better visualization
9d76c77 | Pham Tien Dat | Basically done with removal
135a6c1 | ntd | Test
e14cf1e | Pham Tien Dat | Handle only left child case
7613e9a | Pham Tien Dat | Handle no child and only right child cases
3063cb7 | Pham Tien Dat | Fix bug when inserting
cfe0b47 | Pham Tien Dat | Edit highlighting node when removing
e58bc1b | Pham Tien Dat | Remove redundant animation class
0ba686a | Pham Tien Dat | Add some animation classes for removal
90c1f58 | Pham Tien Dat | Remove redundant functions
86f333c | Pham Tien Dat | Remove redundant functions
0a023c3 | Pham Tien Dat | Fix terrible bug when inserting
1181ba2 | ntd | Update animation for Graph
9244d19 | Pham Tien Dat | Basically done insertion with animation in treap
a7c1863 | Khoa Nguyen | Update changing value of node
e25a05d | Khoa Nguyen | Update changing value of node
9f213fa | Khoa Nguyen | Update changing value of node
db88729 | Khoa Nguyen | Update changing value of node
4dcc80b | Pham Tien Dat | Edit files for better readability
e6236aa | Pham Tien Dat | Handle rotation at a specific node
a21ccd9 | Pham Tien Dat | Done 50% of insert with animation
5551f25 | LeDatPhucAn | Completed everything that has to do with Linked List
e0abda5 | LeDatPhucAn | completed all of linked list
a08e804 | LeDatPhucAn | Update SinglyLinkedListUI.cpp
1ea1283 | LeDatPhucAn | changing the replayOperation a bit
4d059de | Khoa Nguyen | Update HashTableUI.cpp
e4e51a1 | Khoa Nguyen | Update HashTable.cpp
bc745fa | Khoa Nguyen | Update HashTableUI.h
85cde2b | Khoa Nguyen | Update HashTable.h
5776973 | Pham Tien Dat | Add some animation classes
84b7929 | Pham Tien Dat | Functions modifying
49683bf | Pham Tien Dat | Update some functions
8b4e315 | LeDatPhucAn | updating linkedlist
91322ce | LeDatPhucAn | fix deletion in remove function
a7c12a7 | Pham Tien Dat | Merge branch 'TienDat1' of https://github.com/LeDatPhucAn/Data-Structure-Visualization into TienDat1
53f2725 | Pham Tien Dat | Merge pull request #54 from LeDatPhucAn/master
645721c | LeDatPhucAn | Update SceneHandler.cpp
eb2f8f9 | LeDatPhucAn | LinkedList operations can go to previous steps | Removed PlayForward and playBackWard| Added goFirst and goLast buttons
34365a6 | LeDatPhucAn | probably done
fbbe393 | LeDatPhucAn | almost done, just the remove having some issues
34b0ef8 | LeDatPhucAn | complete the go to previous for insert node
52a0a7a | ntd | Resolve conflict
b0b3811 | LeDatPhucAn | making more progress
c55eff3 | ntd | Update
4e4315a | LeDatPhucAn | made some progress to get the go to previous working
08381ef | LeDatPhucAn | whatever
f35a426 | LeDatPhucAn | adding new buttons, trying to make going to the previous step possible
0c29b0a | LeDatPhucAn | Completed all animations for linked list
5acdb90 | LeDatPhucAn | completed all animations for linked list
68d4d97 | Pham Tien Dat | Add some functions using animations
399f2d2 | Pham Tien Dat | Merge pull request #51 from LeDatPhucAn/TienDat1
2d44e00 | Pham Tien Dat | Complete searching with animation in treap
5d96d2a | Pham Tien Dat | Define TreapEdge class
ad34467 | LeDatPhucAn | update animation for removing the head node
e4a16ad | Pham Tien Dat | Merge pull request #50 from LeDatPhucAn/master
01c4e84 | LeDatPhucAn | Update SinglyLinkedList.cpp
86967b4 | LeDatPhucAn | done with insertion
7004809 | LeDatPhucAn | Search operation for linked list has a highlight for each step now
4638c10 | LeDatPhucAn | Search Function for Linked List is almost completely done
76d0f33 | LeDatPhucAn | update search to highlight CodeBlock
583427c | LeDatPhucAn | added a speed adjusting button
5003d53 | LeDatPhucAn | added a speed adjusting button
1826d9b | LeDatPhucAn | done insert, remove and search animation for linkedlist
0ba425d | LeDatPhucAn | more animation refining
82ac797 | LeDatPhucAn | insert,remove,search animations are kinda good now
5f7ddb9 | LeDatPhucAn | updated adjust Pos to have animation
28d944e | LeDatPhucAn | Linked List can now do removal so-so
a3ad5e4 | Pham Tien Dat | Add searching with animations function for Treap
4ff5df7 | Pham Tien Dat | Move Treap's logic to TreapUI
123d876 | LeDatPhucAn | Merge branch 'PhucAn' of https://github.com/LeDatPhucAn/Data-Structure-Visualization into PhucAn
b4e7df0 | LeDatPhucAn | Merge branch 'master' into PhucAn
b8688ee | Pham Tien Dat | Merge pull request #46 from LeDatPhucAn/TienDat1
37ea8fc | Pham Tien Dat | Fix bug involving checking collisions of Treap's nodes and functional Buttons
e7662b2 | Pham Tien Dat | Modifications of Treap's nodes for better visibility.
3b8fe77 | Pham Tien Dat | Merge pull request #45 from LeDatPhucAn/master
ac0f2bb | LeDatPhucAn | Merge pull request #44 from LeDatPhucAn/PhucAn
1d7d15d | LeDatPhucAn | Merge branch 'master' into PhucAn
